kernel,C,coef0,degree,gamma,tol,mean_test_score
sigmoid,675.752916140761,4.057896352862951,,,0.7848640907863829,0.87393
sigmoid,249.22769688855615,0.7309678096483495,,,0.0001,0.87391
sigmoid,267.25434581410394,1.8394292237277021,,,0.2837838454577629,0.87266
sigmoid,815.7792670214811,2.4368483807090264,,,2.0,0.87183
poly,227.9683166699942,-0.7457783692266307,3.510115442016026,15.0,0.3473160761902079,0.87143
sigmoid,702.0604629470514,0.9960226032233841,,,1.1402791214804247,0.8703
sigmoid,893.4211199518812,2.0509010749027894,,,2.0,0.86849
sigmoid,899.7213082385614,1.77241832636647,,,0.23940802494089738,0.86814
poly,200.50853728788928,2.240344761959655,1.0,0.0,0.6222541004140256,0.86774
sigmoid,810.1523525557047,-0.10346601940048572,,,0.02119381105898726,0.86621
rbf,204.24817681453175,,,0.0,2.0,0.86039
sigmoid,669.3068791523864,0.30723048601002034,,,1.30210005333657,0.86001
sigmoid,698.9819087766258,6.145937758833885,,,1.2515394800027273,0.86001
rbf,184.46251757025323,,,0.0,2.0,0.85903
sigmoid,662.5955348206908,3.212938093712701,,,1.7497977937284521,0.85661
poly,67.89608345181621,-0.0993708326997087,4.727341960293237,6.916369747455776,0.0858850119002228,0.85503
poly,215.0226619494248,-20.0,1.0,0.0,0.0001,0.85396
sigmoid,45.555826370574124,1.309535663206045,,,1.3885992634611055,0.85307
rbf,151.26871313827507,,,0.0,2.0,0.84713
poly,133.2259324655759,20.0,1.0,0.0,2.0,0.84595
sigmoid,822.1227078466254,0.8916887391250086,,,0.1246042097157343,0.84555
sigmoid,682.0448442966314,2.3764150768059267,,,0.2638643023798586,0.84531
sigmoid,792.8078872607573,0.18626099144242048,,,0.5154924495197631,0.84459
poly,294.3114185426547,-4.62381525624315,1.0,0.0,2.0,0.84209
sigmoid,657.6709211617288,2.1610029530655446,,,0.0001,0.83975
sigmoid,65.94600055510125,-6.244940044475914,,,1.3062470212985362,0.83972
sigmoid,692.8164271823841,2.164449900711226,,,0.09506612584589945,0.83964
sigmoid,709.5001657766422,1.1498022784584272,,,0.027779039240408417,0.83958
sigmoid,883.5880579292987,1.3039663115129372,,,1.8039168946523088,0.83845
poly,263.5029714192719,-0.593852193621729,1.0,0.0,2.0,0.8275
poly,124.55639156225541,-2.0250149336101213,5.0,15.0,0.0001,0.82739
sigmoid,902.2480535945668,6.905922607848925,,,1.7366678260163109,0.82249
poly,102.95467585204744,20.0,1.0,0.0,2.0,0.81805
rbf,995.4145641480688,,,6.672099169215369,1.288892167313709,0.81318
sigmoid,8.917715377919224,-5.122126159613121,,,0.4643368000097499,0.7943
poly,999.35314792895,-4.478339559304917,3.1363633312033494,14.928732416525474,0.42667888876314003,0.79104
poly,440.52041329016674,-4.94103678810867,3.521863039553511,13.144954846532942,0.9116549915138356,0.78911
rbf,830.4820879800802,,,5.774325306517719,2.0,0.78023
rbf,520.067628724599,,,5.324233551879345,0.3631410496052865,0.77701
rbf,713.402757342523,,,7.022901809575851,1.5081384053866034,0.76922
poly,45.721431864904936,13.520295798172324,1.0,0.0,2.0,0.74403
rbf,194.72031827693232,,,5.43803415193554,0.6955994459561631,0.73207
sigmoid,647.4832768005501,-8.056825279885686,,,2.0,0.7115
sigmoid,659.8468800681505,-7.793364259619429,,,1.2497716490220552,0.6716
sigmoid,915.9062843875288,6.518006167790311,,,0.0001,0.67109
poly,89.0599442576923,-8.770930250530778,1.6083307501831001,11.64659564326441,1.3308134829445333,0.65722
rbf,8.917715377919224,,,5.579202690145079,0.4643368000097499,0.65227
rbf,945.8431607712456,,,9.188622347032519,1.986342655698497,0.64463
poly,246.64881080723129,-18.6764506734081,3.16098941287157,14.930733039149038,0.4681390344708106,0.63045
sigmoid,335.8821109037304,6.978181740624269,,,1.7295535081847047,0.63004
rbf,347.3575039092483,,,7.8158552570268025,2.0,0.61816
rbf,725.3751450825071,,,7.1253134549922965,1.1974164267204817,0.61802
rbf,175.71406182873386,,,8.3576981646248,2.0,0.6103
rbf,45.555826370574124,,,7.9910758737022665,1.3885992634611055,0.56764
poly,357.9944258827226,-15.482205524495253,2.5291812263283697,13.285086829016105,1.7045397171008236,0.56566
rbf,292.9796399704315,,,5.89286770355052,0.0001,0.56413
rbf,902.2480535945668,,,10.089720977943347,1.7366678260163109,0.55364
rbf,666.0979441135021,,,9.190396390954563,1.4021401720361935,0.55182
rbf,329.0880823791055,,,6.146778863393128,0.1554970326937017,0.54836
rbf,207.37727712349053,,,9.310316924923143,1.061127443964616,0.54709
